name,ra,dec,z,+/-
NGC 0345,15.34208333,-6.884277778,0.0175919998,0.000102999998
NGC 0347,15.3965,-6.733666667,0.0186299998,0.000110000001
NGC 0348,15.21670833,-53.2445,0.0294770002,0.000150000007
NGC 0349,15.46145833,-6.799805556,0.0199669991,5.99999985e-05
NGC 0350,15.48627721,-6.795709805,0.020254,9e-05
NGC 0351,15.491,-1.93675,0.0140930004,4.99999987e-05
NGC 0352,15.538375,-4.245472222,0.0176250003,4.99999987e-05
NGC 0353,15.60220833,-1.958861111,0.0137029998,2.7e-05
NGC 0354,15.81829167,22.34266667,0.0155610004,2.99999992e-05
NGC 0355,15.77906966,-6.323992756,0.0242170002,0.000150000007
NGC 0356,15.77958333,-6.988361111,0.01965,0.00018
NGC 0357,15.84116667,-6.339222222,0.00802600011,5.29999998e-05
NGC 0359,16.07068644,-0.7649034679,0.0178030003,8.70000003e-05
NGC 0360,15.714375,-65.60997222,0.00769300014,2.7e-05
NGC 0363,16.56580168,-16.5427518,0.0374989994,9.69999965e-05
NGC 0364,16.17012551,-0.8027405718,0.0171019994,7.30000029e-05
NGC 0365,16.078,-35.12141667,0.0331959985,3.30000003e-05
NGC 0367,16.45370833,-12.12847222,0.0256609991,0.00013
NGC 0368,16.09183333,-43.27675,0.02945,0.00013
NGC 0369,16.287125,-17.75919444,0.0208080001,3.79999983e-05
NGC 0373,16.74254167,32.30847222,0.0183530003,6.70000009e-05
NGC 0374,16.77408333,32.79511111,0.0167820007,9.69999965e-05
NGC 0375,16.77465836,32.34816702,0.0195300002,6.70000009e-05
NGC 0377,16.64509783,-20.33255332,0.05354,0.000183
NGC 0378,16.550875,-30.17813889,0.0320289992,3.30000003e-05
NGC 0379,16.815375,32.52036111,0.0186059996,9.69999965e-05
NGC 0380,16.82329583,32.48292194,0.0147639997,5.60000008e-05
NGC 0382,16.84946292,32.40386389,0.0174419992,6.70000009e-05
NGC 0383,16.85399458,32.41255944,0.0170050003,3.89999987e-05
NGC 0384,16.85459583,32.29245,0.0141200004,6.70000009e-05
NGC 0385,16.86352417,32.31953278,0.0165950004,6.70000009e-05
NGC 0386,16.88038659,32.3619937,0.0185330007,6.70000009e-05
NGC 0387,16.88775,32.39111111,0.0157009996,7.6999997e-05
NGC 0388,16.94644198,32.30996344,0.0181590002,6.70000009e-05
NGC 0389,17.12470833,39.69544444,0.0178190004,9.99999975e-05
NGC 0391,16.84406569,0.9259451149,0.0178820007,8.2999999e-05
NGC 0392,17.09775,33.13361111,0.0156510007,8.70000003e-05
NGC 0393,17.15395833,39.64430556,0.0203540009,9.30000024e-05
NGC 0394,17.10854167,33.14797222,0.0147540001,7.6999997e-05
NGC 0396,17.035,4.530861111,,
NGC 0397,17.12959594,33.10919424,0.0166609995,7.6999997e-05
NGC 0398,17.2236177,32.51451499,0.0166049991,9.30000024e-05
NGC 0399,17.24666667,32.63430556,0.0172349997,6.70000009e-05
NGC 0403,17.309,32.75213889,0.0169779994,3.70000016e-05
NGC 0404,17.36258708,35.71813083,-0.000159999996,2.99999992e-05
NGC 0406,16.854375,-69.87916667,0.00503000012,9.99999975e-06
NGC 0407,17.65233333,33.1265,0.0185899995,9.00000014e-05
NGC 0409,17.38841667,-35.80561111,0.0220749993,0.000102999998
NGC 0410,17.745435,33.15189194,0.0176589992,5.29999998e-05
NGC 0413,18.13083333,-2.793416667,0.0194029994,0.000110000001
NGC 0415,17.52370833,-35.49077778,0.0216550007,3.30000003e-05
NGC 0417,17.77316182,-18.14834188,0.042222999,0.000150000007
NGC 0418,17.64841667,-30.22127778,0.0190360006,2.59999997e-05
NGC 0420,18.04020833,32.12316667,0.0167120006,3.30000003e-05
NGC 0423,17.84254167,-29.23452778,0.00534400018,3.30000003e-05
NGC 0424,17.86511292,-38.08346583,0.0117640002,3.09999996e-05
NGC 0425,18.26066667,38.76836111,0.0214750003,3.30000003e-05
NGC 0426,18.20252552,-0.2901874445,0.0173429996,0.000144000005
NGC 0427,18.08014704,-32.06117407,0.0338970013,6.29999995e-05
NGC 0428,18.232125,0.9815555556,0.00384299993,7.0000001e-06
NGC 0429,18.23926941,-0.3449919232,0.0187630001,7.6999997e-05
NGC 0430,18.24970281,-0.2524964137,0.0176759996,6.29999995e-05
NGC 0431,18.51891667,33.70419444,0.0191070009,6.70000009e-05
NGC 0432,17.94275,-61.52763889,0.0269290004,9.00000014e-05
NGC 0434,18.058875,-58.24797222,0.0164250005,8.70000003e-05
NGC 0435,18.499375,2.071444444,0.0341969989,4.70000014e-05
NGC 0437,18.592875,5.926888889,0.0176490005,6.29999995e-05
NGC 0438,18.39233333,-37.90163889,0.0116410004,3.30000003e-05
NGC 0439,18.44691667,-31.74713889,0.0193569995,8.2999999e-05
NGC 0440,18.20208333,-58.28227778,0.016725,6.70000009e-05
NGC 0441,18.46358333,-31.78833333,0.0187999997,6.29999995e-05
NGC 0442,18.66102132,-1.020647414,0.0186400004,5.29999998e-05
NGC 0443,18.78162156,33.37732545,0.0159610007,6.70000009e-05
NGC 0444,18.95666667,31.08025,0.0161409993,1.70000003e-05
NGC 0445,18.71866667,1.917444444,0.0382359996,9.99999975e-05
NGC 0446,19.01504167,4.294111111,0.018166,2.99999992e-05
NGC 0447,18.90679167,33.06772222,0.0186700001,2.99999992e-05
NGC 0448,18.81883333,-1.626194444,0.006364,1.7e-05
NGC 0449,19.03020459,33.08955547,0.0159460008,7.0000001e-06
NGC 0450,18.87684005,-0.8609730214,0.00587400002,1.29999999e-05
NGC 0451,19.05166667,33.06411111,0.0162780005,3.30000003e-05
NGC 0452,19.06179167,31.03383333,0.0165509991,1.70000003e-05
NGC 0455,18.99016667,5.178694444,0.0194370002,3.00000011e-06
NGC 0458,18.72279167,-71.55269444,,
NGC 0459,19.534125,17.56238889,0.0423789993,1.70000003e-05
NGC 0461,19.336,-33.84088889,0.0189360008,3.30000003e-05
NGC 0462,19.54578145,4.226012965,0.046495,9.7e-05
NGC 0463,19.74272534,16.32575584,0.0210050009,1.70000003e-05
NGC 0466,19.30525,-58.90994444,0.0175519995,8.70000003e-05
NGC 0467,19.79220833,3.300833333,0.0182360001,7.30000029e-05
NGC 0468,19.95208333,32.76777778,0.0168820005,0.000102999998
NGC 0469,19.8872716,14.87195085,0.013673,7.99999998e-06
NGC 0470,19.936875,3.409944444,0.00791900046,9.99999975e-06
NGC 0471,19.99830908,14.78621351,0.0137999998,7.9999998e-05
